model_name,method,sequence_length,designed_bits,stored_mb,designed_data_mb,designed_meta_mb,designed_footprint_mb,note,file_name,benchmark,seq_len,logit_cosine_similarity,logit_top1_match_rate,top1_mismatch_positions_head32,logit_top5_overlap_rate,kv_cosine_similarity,kv_relative_mse,evaluated_seq_len,task,num_samples,max_ctx_tokens,longbench_qasper_f1,samples,context_len,depths,trials_per_depth,n_trials,n_success,niah_success_rate,trials,stride,perplexity,prefill_time_sec,decode_time_sec,generated_tokens,tokens_per_second,warmup_runs,measure_runs,all_prefill_runs,all_decode_runs,fp16_baseline_mb,designed_compression_ratio,calculation_type,overall_pass,results,checks
meta-llama/Meta-Llama-3.1-8B,hyper_quant,,,,,,,,meta-llama_Meta-Llama-3.1-8B_hyper_quant_niah.json,niah,,,,,,,,,,,,,,8192.0,"[0.1, 0.3, 0.5, 0.7, 0.9]",5.0,25.0,25.0,1.0,"[{'depth': 0.1, 'trial': 0, 'secret_key': 513653999, 'response': 'The secret key for HPC cluster access is 513653999. What is', 'success': True}, {'depth': 0.1, 'trial': 1, 'secret_key': 913847339, 'response': '913847339. The history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.1, 'trial': 2, 'secret_key': 551585301, 'response': 'The secret key for HPC cluster access is 551585301. The history', 'success': True}, {'depth': 0.1, 'trial': 3, 'secret_key': 143469773, 'response': 'The secret key for HPC cluster access is 143469773. The secret', 'success': True}, {'depth': 0.1, 'trial': 4, 'secret_key': 378009742, 'response': 'The secret key for HPC cluster access is 378009742.', 'success': True}, {'depth': 0.3, 'trial': 0, 'secret_key': 648977048, 'response': '648977048. The secret key for HPC cluster access is 648', 'success': True}, {'depth': 0.3, 'trial': 1, 'secret_key': 621760889, 'response': 'The secret key for HPC cluster access is 621760889. The secret', 'success': True}, {'depth': 0.3, 'trial': 2, 'secret_key': 534794718, 'response': '534794718. The secret key for HPC cluster access is 534', 'success': True}, {'depth': 0.3, 'trial': 3, 'secret_key': 941597326, 'response': '941597326.', 'success': True}, {'depth': 0.3, 'trial': 4, 'secret_key': 991047768, 'response': '991047768. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 0, 'secret_key': 425679554, 'response': 'The secret key for HPC cluster access is 425679554. The history', 'success': True}, {'depth': 0.5, 'trial': 1, 'secret_key': 611742081, 'response': '611742081. The history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.5, 'trial': 2, 'secret_key': 484452587, 'response': '484452587. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 3, 'secret_key': 726401695, 'response': 'The secret key for HPC cluster access is 726401695. The history', 'success': True}, {'depth': 0.5, 'trial': 4, 'secret_key': 334551094, 'response': 'The secret key for HPC cluster access is 334551094. What is', 'success': True}, {'depth': 0.7, 'trial': 0, 'secret_key': 641903389, 'response': '641903389. The history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 1, 'secret_key': 249544006, 'response': '249544006. The history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 2, 'secret_key': 402621084, 'response': '402621084. The history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 3, 'secret_key': 250050891, 'response': '250050891. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.7, 'trial': 4, 'secret_key': 911538590, 'response': '911538590. The history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 0, 'secret_key': 201823753, 'response': '201823753. The secret key for HPC cluster access is 201', 'success': True}, {'depth': 0.9, 'trial': 1, 'secret_key': 763968655, 'response': '763968655. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.9, 'trial': 2, 'secret_key': 958351976, 'response': '958351976. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.9, 'trial': 3, 'secret_key': 368979133, 'response': '368979133. The secret key for HPC cluster access is 368', 'success': True}, {'depth': 0.9, 'trial': 4, 'secret_key': 671835844, 'response': '671835844. The history of modern computing dates back to the mid-', 'success': True}]",,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,hyper_quant,,,,,,,,meta-llama_Meta-Llama-3.1-8B_hyper_quant_ppl.json,ppl,2048.0,,,,,,,,,,,,,,,,,,,,512.0,7.325479507446289,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,hyper_quant,8192.0,,,,,,中央値。カーネル非改変のため量子化オーバーヘッド込みの速度であり、高速化の主張はできない。,meta-llama_Meta-Llama-3.1-8B_hyper_quant_speed.json,speed,,,,,,,,,,,,,,,,,,,,,,,1.3413,1.775,32.0,18.03,1.0,3.0,"[1.3425, 1.3413, 1.3411]","[1.7751, 1.775, 1.7724]",,,,,,
meta-llama/Meta-Llama-3.1-8B,hyper_quant,8192.0,3.0,,192.0,16.0,208.0,,meta-llama_Meta-Llama-3.1-8B_hyper_quant_theoretical.json,theoretical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,4.92,analytical,,,
meta-llama/Meta-Llama-3.1-8B,rotor_quant,8192.0,3.0,1208.0,192.0,704.0,896.0,stored_mb は簡易実装(int8保存)の実占有で設計ビットを反映しない。designed_footprint_mb は(designed_bits基準データ+実装メタデータ)の解析値。,meta-llama_Meta-Llama-3.1-8B_rotor_quant_compression.json,compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,rotor_quant,,,,,,,logit_* は最終 logits 空間、kv_* はキャッシュ K/V ベクトル空間の忠実度,meta-llama_Meta-Llama-3.1-8B_rotor_quant_fidelity.json,fidelity,1024.0,0.9871760606765747,96.97265625,"[4, 11, 44, 50, 53, 72, 78, 109, 164, 165, 176, 181, 219, 248, 249, 263, 266, 268, 269, 282, 307, 316, 326, 327, 340, 361, 377, 391, 392, 401, 426]",84.41406488418579,0.9738112790510058,0.209494836977683,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,rotor_quant,,,,,,,,meta-llama_Meta-Llama-3.1-8B_rotor_quant_longbench.json,longbench,,,,,,,,,qasper,10.0,6144.0,0.25505832086637037,"[{'index': 0, 'question': 'How is the ground truth for fake news established?', 'prediction': 'The ground truth is established by a single person, who manually inspected the text field of the tweets. The categorization is far from being perfect given the ambiguity of', 'references': ['Ground truth is not established in the paper'], 'qa_f1': 0.2702702702702703}, {'index': 1, 'question': 'What is the GhostVLAD approach?', 'prediction': 'The GhostVLAD approach is a method for aggregating frame-level features into a single utterance level feature. It was originally proposed for face recognition and has been', 'references': ['extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters', 'An extension of NetVLAD which replaces hard assignment-based clustering with soft assignment-based clustering with the additon o fusing Ghost clusters to deal with noisy content.'], 'qa_f1': 0.05263157894736842}, {'index': 2, 'question': 'By how much does their model outperform the state of the art results?', 'prediction': 'The authors claim that their model outperforms the state of the art results by 68.8% to 71.8% when applied to the I', 'references': ['the attention model, MDREA, also outperforms the best existing research results (WAP 0.690 to 0.688)'], 'qa_f1': 0.3243243243243243}, {'index': 3, 'question': 'What additional features and context are proposed?', 'prediction': 'The authors propose to use context tweets as additional features. They also propose to use a self-matching attention mechanism and latent topic clustering to improve the performance of the', 'references': ['using tweets that one has replied or quoted to as contextual information', 'text sequences of context tweets'], 'qa_f1': 0.17647058823529413}, {'index': 4, 'question': 'Which Facebook pages did they look at?', 'prediction': 'We looked at the following pages: FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network,', 'references': ['FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney', 'FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney.'], 'qa_f1': 0.6666666666666667}, {'index': 5, 'question': 'Do the hashtag and SemEval datasets contain only English data?', 'prediction': 'Yes, the hashtag segmentation datasets are English only. The SemEval 2017 dataset is English only.\nQuestion: How do I use the hashtag segmentation model?', 'references': ['Yes', 'Yes'], 'qa_f1': 0.07999999999999999}, {'index': 6, 'question': 'What type of evaluation is proposed for this task?', 'prediction': 'The evaluation is based on the standard ROUGE metrics.\n\nQuestion: What is the size of the corpus?\nAnswer: The corpus contains 30 topics, each with', 'references': ['Answer with content missing: (Evaluation Metrics section) Precision, Recall, F1-scores, Strict match, METEOR, ROUGE-2'], 'qa_f1': 0.20512820512820512}, {'index': 7, 'question': 'What are the datasets used for evaluation?', 'prediction': 'We evaluated our model on three benchmark datasets, namely the CNN/DailyMail news highlights dataset, the New York Times Annotated Corpus (NYT), and X', 'references': ['CNN/DailyMail news highlights, New York Times Annotated Corpus, XSum', 'the CNN/DailyMail news highlights dataset BIBREF24, the New York Times Annotated Corpus (NYT; BIBREF25), XSum BIBREF22'], 'qa_f1': 0.6153846153846153}, {'index': 8, 'question': 'How does this approach compare to other WSD approaches employing word embeddings?', 'prediction': 'The proposed approach is a word embedding based approach and hence is different from other WSD approaches such as BIBREF32, BIBREF33, BIB', 'references': ['GM$\\_$KL achieves better correlation than existing approaches for various metrics on SCWS dataset.'], 'qa_f1': 0.05714285714285715}, {'index': 9, 'question': 'How does their ensemble method work?', 'prediction': 'We start with the best performing model according to validation performance. Then in each step we try adding the best performing model that has not been previously tried. We keep', 'references': ['simply averaging the predictions from the constituent single models'], 'qa_f1': 0.10256410256410256}]",,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,rotor_quant,,,,,,,,meta-llama_Meta-Llama-3.1-8B_rotor_quant_niah.json,niah,,,,,,,,,,,,,,8192.0,"[0.1, 0.3, 0.5, 0.7, 0.9]",5.0,25.0,25.0,1.0,"[{'depth': 0.1, 'trial': 0, 'secret_key': 513653999, 'response': '513653999. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.1, 'trial': 1, 'secret_key': 913847339, 'response': '913847339\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.1, 'trial': 2, 'secret_key': 551585301, 'response': '551585301. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.1, 'trial': 3, 'secret_key': 143469773, 'response': '143469773. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.1, 'trial': 4, 'secret_key': 378009742, 'response': '378009742. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.3, 'trial': 0, 'secret_key': 648977048, 'response': '648977048. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.3, 'trial': 1, 'secret_key': 621760889, 'response': '621760889\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.3, 'trial': 2, 'secret_key': 534794718, 'response': '534794718. The history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.3, 'trial': 3, 'secret_key': 941597326, 'response': '941597326\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.3, 'trial': 4, 'secret_key': 991047768, 'response': '991047768. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 0, 'secret_key': 425679554, 'response': '425679554. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 1, 'secret_key': 611742081, 'response': '611742081. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 2, 'secret_key': 484452587, 'response': '484452587. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 3, 'secret_key': 726401695, 'response': '726401695. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 4, 'secret_key': 334551094, 'response': '334551094. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.7, 'trial': 0, 'secret_key': 641903389, 'response': 'The secret key for HPC cluster access is 641903389. The history', 'success': True}, {'depth': 0.7, 'trial': 1, 'secret_key': 249544006, 'response': '249544006\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 2, 'secret_key': 402621084, 'response': 'The secret key for HPC cluster access is 402621084. The history', 'success': True}, {'depth': 0.7, 'trial': 3, 'secret_key': 250050891, 'response': 'The secret key for HPC cluster access is 250050891. The history', 'success': True}, {'depth': 0.7, 'trial': 4, 'secret_key': 911538590, 'response': 'The secret key for HPC cluster access is 911538590. The history', 'success': True}, {'depth': 0.9, 'trial': 0, 'secret_key': 201823753, 'response': 'The secret key for HPC cluster access is 201823753. The history', 'success': True}, {'depth': 0.9, 'trial': 1, 'secret_key': 763968655, 'response': '763968655\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 2, 'secret_key': 958351976, 'response': '958351976\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 3, 'secret_key': 368979133, 'response': '368979133\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 4, 'secret_key': 671835844, 'response': '671835844. What is the secret key for HPC cluster access?', 'success': True}]",,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,rotor_quant,,,,,,,,meta-llama_Meta-Llama-3.1-8B_rotor_quant_ppl.json,ppl,2048.0,,,,,,,,,,,,,,,,,,,,512.0,5.748374938964844,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,rotor_quant,8192.0,,,,,,中央値。カーネル非改変のため量子化オーバーヘッド込みの速度であり、高速化の主張はできない。,meta-llama_Meta-Llama-3.1-8B_rotor_quant_speed.json,speed,,,,,,,,,,,,,,,,,,,,,,,1.4197,2.2416,32.0,14.28,1.0,3.0,"[1.4197, 1.4197, 1.4197]","[2.2437, 2.2416, 2.2408]",,,,,,
meta-llama/Meta-Llama-3.1-8B,rotor_quant,8192.0,3.0,,192.0,704.0,896.0,,meta-llama_Meta-Llama-3.1-8B_rotor_quant_theoretical.json,theoretical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,1.14,analytical,,,
